War,Start Date,End Date,Cause,Participant
Trunajaya rebellion,,1681-01-01 00:00:00+00:00,,Dutch East India Company
Johor-Jambi war,,1681-01-01 00:00:00+00:00,,Dutch East India Company
Child's War,1686-01-01 00:00:00+00:00,1690-04-01 00:00:00+00:00,,East India Company
Travancore–Dutch War,1739-11-12 00:00:00+00:00,1753-08-15 00:00:00+00:00,,Dutch East India Company
Cattle War,1756-06-19 00:00:00+00:00,1756-07-06 00:00:00+00:00,,French India
Cattle War,1756-06-19 00:00:00+00:00,1756-07-06 00:00:00+00:00,,Danish India
Kandyan–Dutch War of 1764–1766,1764-01-01 00:00:00+00:00,1766-01-01 00:00:00+00:00,,Dutch East India Company
First Anglo-Mysore War,1767-01-01 00:00:00+00:00,1769-01-01 00:00:00+00:00,,East India Company
Anglo-Mysore Wars,1767-01-01 00:00:00+00:00,1799-01-01 00:00:00+00:00,,East India Company
First Rohilla War,1773-01-01 00:00:00+00:00,1774-01-01 00:00:00+00:00,,East India Company
Second Anglo-Mysore War,1780-01-01 00:00:00+00:00,1784-01-01 00:00:00+00:00,,East India Company
Dutch-Selangor war,1784-01-01 00:00:00+00:00,1786-01-01 00:00:00+00:00,,Dutch East India Company
Third Anglo-Mysore War,1790-01-01 00:00:00+00:00,1792-03-18 00:00:00+00:00,,East India Company
Fourth Anglo-Mysore War,1798-01-01 00:00:00+00:00,1799-01-01 00:00:00+00:00,,East India Company
Second Anglo-Maratha War,1803-01-01 00:00:00+00:00,1805-01-01 00:00:00+00:00,,East India Company
Anglo-Nepalese War,1814-01-01 00:00:00+00:00,1816-01-01 00:00:00+00:00,,East India Company
Third Anglo-Maratha War,1817-11-01 00:00:00+00:00,1818-02-01 00:00:00+00:00,,East India Company
First Anglo-Sikh War,1845-12-11 00:00:00+00:00,1846-03-09 00:00:00+00:00,,East India Company
Yakima War,1855-01-01 00:00:00+00:00,1858-01-01 00:00:00+00:00,,Snoqualmie Indian Tribe
Rogue River Wars,1855-01-01 00:00:00+00:00,1856-01-01 00:00:00+00:00,,Rogue River Indians
Anglo-Persian War,1856-11-01 00:00:00+00:00,1857-04-04 00:00:00+00:00,,East India Company
Indian Mutiny of 1857,1857-05-10 00:00:00+00:00,1858-06-20 00:00:00+00:00,,East India Company
Miranzai Valley Expedition,1891-01-01 00:00:00+00:00,1891-05-01 00:00:00+00:00,,British Indian Army
Indo-Pakistani War of 1947–1948,1947-10-22 00:00:00+00:00,1949-01-01 00:00:00+00:00,,Dominion of India
Indo-Pakistani War of 1947–1948,1947-10-22 00:00:00+00:00,1949-01-01 00:00:00+00:00,,Dominion of Pakistan
Kashmir conflict,1947-10-22 00:00:00+00:00,,,Pakistan
Kashmir conflict,1947-10-22 00:00:00+00:00,,,India
Indo-Pakistani War of 1965,1965-08-01 00:00:00+00:00,1965-09-23 00:00:00+00:00,,Pakistan
Indo-Pakistani War of 1965,1965-08-01 00:00:00+00:00,1965-09-23 00:00:00+00:00,,India
Bangladesh Liberation War,1971-03-26 00:00:00+00:00,1971-12-16 00:00:00+00:00,Bangladesh,Pakistan
Bangladesh Liberation War,1971-03-26 00:00:00+00:00,1971-12-16 00:00:00+00:00,Bangladesh,India
Indo-Pakistani War of 1971,1971-12-03 00:00:00+00:00,1971-12-16 00:00:00+00:00,,India
Indo-Pakistani War of 1971,1971-12-03 00:00:00+00:00,1971-12-16 00:00:00+00:00,,Pakistan
Third Indochina War,1975-05-01 00:00:00+00:00,1991-10-23 00:00:00+00:00,,India
Kargil War,1999-05-03 00:00:00+00:00,1999-07-26 00:00:00+00:00,,India
Kargil War,1999-05-03 00:00:00+00:00,1999-07-26 00:00:00+00:00,,Pakistan
insurgency in Khyber Pakhtunkhwa,2004-03-16 00:00:00+00:00,,,Pakistan
insurgency in Khyber Pakhtunkhwa,2004-03-16 00:00:00+00:00,,,Pakistani Taliban
insurgency in Khyber Pakhtunkhwa,2004-03-16 00:00:00+00:00,,,Pakistan Armed Forces
Cambodian–Dutch War,,,,Dutch East India Company
Kandyan–Dutch War of 1670–1675,,,,Dutch East India Company
Dano-Dutch War,,,,Dutch West India Company
Willem Leyel's War on Golconda,,,,Danish India
Jayakarta War,,,,East India Company
Jayakarta War,,,,Dutch East India Company
