,War,Start Date,End Date,Cause,Participant,Normalized Participant
21,Trunajaya rebellion,,1681-01-01 00:00:00+00:00,,Dutch East India Company,Europe
25,Johor-Jambi war,,1681-01-01 00:00:00+00:00,,Dutch East India Company,Europe
53,Child's War,1686-01-01 00:00:00+00:00,1690-04-01 00:00:00+00:00,,East India Company,Europe
69,Second Hundred Years' War,1688-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,,France,Europe
127,Russian–Circassian War,1711-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,,Russian Empire,Russia
181,Fifth Russo-Turkish War,1736-01-01 00:00:00+00:00,1739-09-18 00:00:00+00:00,,Russian Empire,Russia
188,Travancore–Dutch War,1739-11-12 00:00:00+00:00,1753-08-15 00:00:00+00:00,,Dutch East India Company,Europe
193,Russo-Swedish War of 1741-1743,1741-01-01 00:00:00+00:00,1743-01-01 00:00:00+00:00,,Russian Empire,Russia
254,Seven Years' War,1756-05-17 00:00:00+00:00,1763-02-15 00:00:00+00:00,,Russian Empire,Russia
282,Cattle War,1756-06-19 00:00:00+00:00,1756-07-06 00:00:00+00:00,,Danish India,Europe
286,Third Silesian War,1756-08-29 00:00:00+00:00,1763-02-15 00:00:00+00:00,,Russian Empire,Russia
291,Pomeranian War,1757-09-13 00:00:00+00:00,1762-05-22 00:00:00+00:00,,Russian Empire,Russia
299,Qing-Kyrgyz War,1758-01-01 00:00:00+00:00,1846-01-01 00:00:00+00:00,,Russian Empire,Russia
315,Russian–Circassian War,1763-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,,Russian Empire,Russia
317,Caucasian War,1763-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,,Russian Empire,Russia
335,Kandyan–Dutch War of 1764–1766,1764-01-01 00:00:00+00:00,1766-01-01 00:00:00+00:00,,Dutch East India Company,Europe
349,First Anglo-Mysore War,1767-01-01 00:00:00+00:00,1769-01-01 00:00:00+00:00,,East India Company,Europe
351,Anglo-Mysore Wars,1767-01-01 00:00:00+00:00,1799-01-01 00:00:00+00:00,,East India Company,Europe
357,Sixth Russo-Turkish War,1768-01-01 00:00:00+00:00,1774-01-01 00:00:00+00:00,,Russian Empire,Russia
364,First Rohilla War,1773-01-01 00:00:00+00:00,1774-01-01 00:00:00+00:00,,East India Company,Europe
396,Second Anglo-Mysore War,1780-01-01 00:00:00+00:00,1784-01-01 00:00:00+00:00,,East India Company,Europe
401,Dutch-Selangor war,1784-01-01 00:00:00+00:00,1786-01-01 00:00:00+00:00,,Dutch East India Company,Europe
405,American-Algerian War,1785-01-01 00:00:00+00:00,1795-01-01 00:00:00+00:00,,United States,USA
413,Northwest Indian War,1785-01-01 00:00:00+00:00,1795-01-01 00:00:00+00:00,,United States,USA
419,Seventh Russo-Turkish War,1787-08-24 00:00:00+00:00,1792-01-09 00:00:00+00:00,,Russian Empire,Russia
434,Russo-Swedish War of 1788–1790,1788-06-01 00:00:00+00:00,1790-08-01 00:00:00+00:00,,Russian Empire,Russia
443,Third Anglo-Mysore War,1790-01-01 00:00:00+00:00,1792-03-18 00:00:00+00:00,,East India Company,Europe
463,French Revolutionary Wars,1792-04-20 00:00:00+00:00,1802-03-25 00:00:00+00:00,,Russian Empire,Russia
472,French Revolutionary Wars,1792-04-20 00:00:00+00:00,1802-03-25 00:00:00+00:00,,United States,USA
481,Polish–Russian War of 1792,1792-05-18 00:00:00+00:00,1792-07-27 00:00:00+00:00,,Russian Empire,Russia
489,Second Carib War,1795-01-01 00:00:00+00:00,1797-01-01 00:00:00+00:00,,France,Europe
494,Persian Expedition of 1796,1796-04-01 00:00:00+00:00,1796-11-01 00:00:00+00:00,,Russian Empire,Russia
504,War of the Second Coalition,1798-01-01 00:00:00+00:00,1801-01-01 00:00:00+00:00,,Russian Empire,Russia
511,Fourth Anglo-Mysore War,1798-01-01 00:00:00+00:00,1799-01-01 00:00:00+00:00,,East India Company,Europe
524,Quasi-War,1798-07-07 00:00:00+00:00,1800-09-30 00:00:00+00:00,,United States,USA
538,Russian conquest of the Caucasus,1800-12-18 00:00:00+00:00,1864-06-02 00:00:00+00:00,,Russian Empire,Russia
539,Barbary Wars,1801-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,,United States,USA
548,Second Anglo-Maratha War,1803-01-01 00:00:00+00:00,1805-01-01 00:00:00+00:00,,East India Company,Europe
554,Russo-Persian War,1804-01-01 00:00:00+00:00,1813-10-24 00:00:00+00:00,,Russian Empire,Russia
558,War of the Third Coalition,1805-01-01 00:00:00+00:00,1806-01-01 00:00:00+00:00,,Russian Empire,Russia
575,Anglo-Russian War,1807-09-02 00:00:00+00:00,1812-07-18 00:00:00+00:00,,Russian Empire,Russia
579,Dano-Swedish War of 1808-1809,1808-03-14 00:00:00+00:00,1809-12-10 00:00:00+00:00,,Russian Empire,Russia
590,Tecumseh's War,1810-08-01 00:00:00+00:00,1813-10-05 00:00:00+00:00,,United States,USA
601,War of 1812,1812-06-18 00:00:00+00:00,1815-02-18 00:00:00+00:00,,United States,USA
608,French invasion of Russia,1812-06-24 00:00:00+00:00,1812-12-14 00:00:00+00:00,,Russian Empire,Russia
616,Creek War,1813-01-01 00:00:00+00:00,1814-08-01 00:00:00+00:00,,United States,USA
626,Anglo-Nepalese War,1814-01-01 00:00:00+00:00,1816-01-01 00:00:00+00:00,,East India Company,Europe
634,Seminole Wars,1816-01-01 00:00:00+00:00,1858-01-01 00:00:00+00:00,,United States,USA
640,Third Anglo-Maratha War,1817-11-01 00:00:00+00:00,1818-02-01 00:00:00+00:00,,East India Company,Europe
646,Texas–Indian Wars,1820-01-01 00:00:00+00:00,1875-01-01 00:00:00+00:00,,United States,USA
666,Russo-Persian War of 1826–28,1826-07-31 00:00:00+00:00,1828-02-22 00:00:00+00:00,,Russian Empire,Russia
678,Algerian popular resistance against French invasion,1830-01-01 00:00:00+00:00,1962-01-01 00:00:00+00:00,,France,Europe
685,November Uprising,1830-11-29 00:00:00+00:00,1831-10-21 00:00:00+00:00,,Russian Empire,Russia
696,Black Hawk War,1832-05-01 00:00:00+00:00,1832-08-01 00:00:00+00:00,,United States,USA
702,Russian-Chechen War of 1834–1835,1834-01-01 00:00:00+00:00,1835-01-01 00:00:00+00:00,,Russian Empire,Russia
707,Second Seminole War,1835-12-23 00:00:00+00:00,1842-08-14 00:00:00+00:00,,United States,USA
717,Aroostook War,1838-01-01 00:00:00+00:00,1839-01-01 00:00:00+00:00,,United States,USA
719,Pastry War,1838-11-27 00:00:00+00:00,1839-03-09 00:00:00+00:00,,United States,USA
725,Second Egyptian-Ottoman War,1839-01-01 00:00:00+00:00,1841-01-01 00:00:00+00:00,,Russian Empire,Russia
740,Russian conquest of Bukhara,1842-01-01 00:00:00+00:00,1868-01-01 00:00:00+00:00,,Russian Empire,Russia
755,First Anglo-Sikh War,1845-12-11 00:00:00+00:00,1846-03-09 00:00:00+00:00,,East India Company,Europe
757,Mexican-American War,1846-04-24 00:00:00+00:00,1848-02-02 00:00:00+00:00,,United States,USA
764,Cayuse War,1847-01-01 00:00:00+00:00,1855-01-01 00:00:00+00:00,,United States,USA
769,Apache Wars,1849-01-01 00:00:00+00:00,1924-01-01 00:00:00+00:00,,United States,USA
771,Jicarilla War,1849-01-01 00:00:00+00:00,1855-01-01 00:00:00+00:00,,United States,USA
788,Crimean War,1853-10-01 00:00:00+00:00,1856-02-01 00:00:00+00:00,,Russian Empire,Russia
799,Rogue River Wars,1855-01-01 00:00:00+00:00,1856-01-01 00:00:00+00:00,,United States,USA
802,Yakima War,1855-01-01 00:00:00+00:00,1858-01-01 00:00:00+00:00,,United States,USA
812,Second Opium War,1856-01-01 00:00:00+00:00,1860-01-01 00:00:00+00:00,,United States,USA
814,Anglo-Persian War,1856-11-01 00:00:00+00:00,1857-04-04 00:00:00+00:00,,East India Company,Europe
829,Indian Mutiny of 1857,1857-05-10 00:00:00+00:00,1858-06-20 00:00:00+00:00,,East India Company,Europe
837,Pig War,1859-06-15 00:00:00+00:00,1859-10-01 00:00:00+00:00,,United States,USA
843,Dakota War of 1862,1862-08-17 00:00:00+00:00,1862-12-26 00:00:00+00:00,,United States,USA
846,Colorado War,1863-01-01 00:00:00+00:00,1865-01-01 00:00:00+00:00,,United States,USA
899,Red Cloud's War,1866-01-01 00:00:00+00:00,1868-01-01 00:00:00+00:00,,United States,USA
918,Mokrani Revolt,1871-01-01 00:00:00+00:00,1872-01-01 00:00:00+00:00,,France,Europe
922,Modoc War,1872-07-06 00:00:00+00:00,1873-06-04 00:00:00+00:00,,United States,USA
928,Red River War,1874-01-01 00:00:00+00:00,1875-01-01 00:00:00+00:00,,United States,USA
937,Great Sioux War of 1876,1876-01-01 00:00:00+00:00,1877-01-01 00:00:00+00:00,,United States,USA
940,First Serbian–Ottoman War,1876-06-30 00:00:00+00:00,1878-03-03 00:00:00+00:00,,Russian Empire,Russia
946,Nez Perce War,1877-06-01 00:00:00+00:00,1877-10-01 00:00:00+00:00,,United States,USA
952,Bannock War,1878-06-01 00:00:00+00:00,1878-09-01 00:00:00+00:00,,United States,USA
997,Ghost Dance War,1890-12-29 00:00:00+00:00,1891-01-15 00:00:00+00:00,,United States,USA
998,Miranzai Valley Expedition,1891-01-01 00:00:00+00:00,1891-05-01 00:00:00+00:00,,British Indian Army,India
1000,Bafut Wars,1891-01-01 00:00:00+00:00,1907-01-01 00:00:00+00:00,,Germany,Europe
1031,Banana Wars,1898-01-01 00:00:00+00:00,1934-01-01 00:00:00+00:00,,United States,USA
1032,Second Samoan Civil War,1898-01-01 00:00:00+00:00,1899-01-01 00:00:00+00:00,,United States,USA
1037,Spanish–American War,1898-04-25 00:00:00+00:00,1898-08-11 00:00:00+00:00,,United States,USA
1041,Philippine–American War,1899-02-04 00:00:00+00:00,1902-07-02 00:00:00+00:00,,United States,USA
