War,Start Date,End Date,Cause,Participant
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,,Tsardom of Russia
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,,Tsardom of Russia
Russian–Circassian War,1711-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,,Russian Empire
Fifth Russo-Turkish War,1736-01-01 00:00:00+00:00,1739-09-18 00:00:00+00:00,,Russian Empire
Russo-Swedish War of 1741-1743,1741-01-01 00:00:00+00:00,1743-01-01 00:00:00+00:00,,Russian Empire
Seven Years' War,1756-05-17 00:00:00+00:00,1763-02-15 00:00:00+00:00,,Russian Empire
Third Silesian War,1756-08-29 00:00:00+00:00,1763-02-15 00:00:00+00:00,,Russian Empire
Pomeranian War,1757-09-13 00:00:00+00:00,1762-05-22 00:00:00+00:00,,Russian Empire
Qing-Kyrgyz War,1758-01-01 00:00:00+00:00,1846-01-01 00:00:00+00:00,,Russian Empire
Russian–Circassian War,1763-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,,Russian Empire
Caucasian War,1763-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,,Russian Empire
Sixth Russo-Turkish War,1768-01-01 00:00:00+00:00,1774-01-01 00:00:00+00:00,,Russian Empire
American-Algerian War,1785-01-01 00:00:00+00:00,1795-01-01 00:00:00+00:00,,United States
Northwest Indian War,1785-01-01 00:00:00+00:00,1795-01-01 00:00:00+00:00,,United States
Seventh Russo-Turkish War,1787-08-24 00:00:00+00:00,1792-01-09 00:00:00+00:00,,Russian Empire
Russo-Swedish War of 1788–1790,1788-06-01 00:00:00+00:00,1790-08-01 00:00:00+00:00,,Russian Empire
French Revolutionary Wars,1792-04-20 00:00:00+00:00,1802-03-25 00:00:00+00:00,,Russian Empire
French Revolutionary Wars,1792-04-20 00:00:00+00:00,1802-03-25 00:00:00+00:00,,United States
Polish–Russian War of 1792,1792-05-18 00:00:00+00:00,1792-07-27 00:00:00+00:00,,Russian Empire
Persian Expedition of 1796,1796-04-01 00:00:00+00:00,1796-11-01 00:00:00+00:00,,Russian Empire
War of the Second Coalition,1798-01-01 00:00:00+00:00,1801-01-01 00:00:00+00:00,,Russian Empire
Quasi-War,1798-07-07 00:00:00+00:00,1800-09-30 00:00:00+00:00,,United States
Russian conquest of the Caucasus,1800-12-18 00:00:00+00:00,1864-06-02 00:00:00+00:00,,Russian Empire
Barbary Wars,1801-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,,United States
Russo-Tlingit War,1802-05-01 00:00:00+00:00,1805-01-01 00:00:00+00:00,,Russian-American Company
Russo-Persian War,1804-01-01 00:00:00+00:00,1813-10-24 00:00:00+00:00,,Russian Empire
War of the Third Coalition,1805-01-01 00:00:00+00:00,1806-01-01 00:00:00+00:00,,Russian Empire
Anglo-Russian War,1807-09-02 00:00:00+00:00,1812-07-18 00:00:00+00:00,,Russian Empire
Dano-Swedish War of 1808-1809,1808-03-14 00:00:00+00:00,1809-12-10 00:00:00+00:00,,Russian Empire
Tecumseh's War,1810-08-01 00:00:00+00:00,1813-10-05 00:00:00+00:00,,United States
War of 1812,1812-06-18 00:00:00+00:00,1815-02-18 00:00:00+00:00,,United States
French invasion of Russia,1812-06-24 00:00:00+00:00,1812-12-14 00:00:00+00:00,,Russian Empire
Creek War,1813-01-01 00:00:00+00:00,1814-08-01 00:00:00+00:00,,United States
Seminole Wars,1816-01-01 00:00:00+00:00,1858-01-01 00:00:00+00:00,,United States
Texas–Indian Wars,1820-01-01 00:00:00+00:00,1875-01-01 00:00:00+00:00,,United States
Russo-Persian War of 1826–28,1826-07-31 00:00:00+00:00,1828-02-22 00:00:00+00:00,,Russian Empire
November Uprising,1830-11-29 00:00:00+00:00,1831-10-21 00:00:00+00:00,,Russian Empire
Black Hawk War,1832-05-01 00:00:00+00:00,1832-08-01 00:00:00+00:00,,United States
Russian-Chechen War of 1834–1835,1834-01-01 00:00:00+00:00,1835-01-01 00:00:00+00:00,,Russian Empire
Second Seminole War,1835-12-23 00:00:00+00:00,1842-08-14 00:00:00+00:00,,United States
Aroostook War,1838-01-01 00:00:00+00:00,1839-01-01 00:00:00+00:00,,United States
Pastry War,1838-11-27 00:00:00+00:00,1839-03-09 00:00:00+00:00,,United States
