,War,Start Date,End Date,Participant,Location,Casualties,Cause,Effect,Normalized Participant
45,Johor-Jambi war,,1681-01-01 00:00:00+00:00,Dutch East India Company,Jambi,,,,Europe
54,Trunajaya rebellion,,1681-01-01 00:00:00+00:00,Dutch East India Company,Java,,,,Europe
55,Johor-Jambi war,,1681-01-01 00:00:00+00:00,Dutch East India Company,Johor,,,,Europe
112,Child's War,1686-01-01 00:00:00+00:00,1690-04-01 00:00:00+00:00,East India Company,Indian subcontinent,,,,Europe
150,Second Hundred Years' War,1688-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,France,Europe,,,,Europe
222,Russian–Circassian War,1711-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,Russian Empire,Circassia,,,,Russia
319,Fifth Russo-Turkish War,1736-01-01 00:00:00+00:00,1739-09-18 00:00:00+00:00,Russian Empire,Crimean Khanate,,,,Russia
326,Travancore–Dutch War,1739-11-12 00:00:00+00:00,1753-08-15 00:00:00+00:00,Dutch East India Company,Kerala,,,,Europe
334,Russo-Swedish War of 1741-1743,1741-01-01 00:00:00+00:00,1743-01-01 00:00:00+00:00,Russian Empire,Finland,,,,Russia
405,Seven Years' War,1756-05-17 00:00:00+00:00,1763-02-15 00:00:00+00:00,Russian Empire,West Africa,,,,Russia
438,Seven Years' War,1756-05-17 00:00:00+00:00,1763-02-15 00:00:00+00:00,Russian Empire,India,,,,Russia
450,Seven Years' War,1756-05-17 00:00:00+00:00,1763-02-15 00:00:00+00:00,Russian Empire,Americas,,,,Russia
461,Seven Years' War,1756-05-17 00:00:00+00:00,1763-02-15 00:00:00+00:00,Russian Empire,Europe,,,,Russia
508,Seven Years' War,1756-05-17 00:00:00+00:00,1763-02-15 00:00:00+00:00,Russian Empire,Philippines,,,,Russia
529,Cattle War,1756-06-19 00:00:00+00:00,1756-07-06 00:00:00+00:00,Danish India,Tharangambadi,,,,Europe
534,Third Silesian War,1756-08-29 00:00:00+00:00,1763-02-15 00:00:00+00:00,Russian Empire,Central Europe,,,,Russia
537,Pomeranian War,1757-09-13 00:00:00+00:00,1762-05-22 00:00:00+00:00,Russian Empire,Swedish Pomerania,,,,Russia
550,Qing-Kyrgyz War,1758-01-01 00:00:00+00:00,1846-01-01 00:00:00+00:00,Russian Empire,Central Asia,,,,Russia
568,Caucasian War,1763-01-01 00:00:00+00:00,1864-06-02 00:00:00+00:00,Russian Empire,Caucasus,,,,Russia
573,Russian–Circassian War,1763-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,Russian Empire,Circassia,,,,Russia
587,Kandyan–Dutch War of 1764–1766,1764-01-01 00:00:00+00:00,1766-01-01 00:00:00+00:00,Dutch East India Company,Sri Lanka,,,,Europe
597,First Anglo-Mysore War,1767-01-01 00:00:00+00:00,1769-01-01 00:00:00+00:00,East India Company,Indian subcontinent,,,,Europe
602,Anglo-Mysore Wars,1767-01-01 00:00:00+00:00,1799-01-01 00:00:00+00:00,East India Company,South India,,,,Europe
606,Sixth Russo-Turkish War,1768-01-01 00:00:00+00:00,1774-01-01 00:00:00+00:00,Russian Empire,Eastern Europe,,,,Russia
619,First Rohilla War,1773-01-01 00:00:00+00:00,1774-01-01 00:00:00+00:00,East India Company,,,,,Europe
666,Second Anglo-Mysore War,1780-01-01 00:00:00+00:00,1784-01-01 00:00:00+00:00,East India Company,South India,,,,Europe
671,Dutch-Selangor war,1784-01-01 00:00:00+00:00,1786-01-01 00:00:00+00:00,Dutch East India Company,Bukit Melawati,,,,Europe
681,American-Algerian War,1785-01-01 00:00:00+00:00,1795-01-01 00:00:00+00:00,United States,Mediterranean Sea,,,,USA
683,American-Algerian War,1785-01-01 00:00:00+00:00,1795-01-01 00:00:00+00:00,United States,Atlantic Ocean,,,,USA
687,Northwest Indian War,1785-01-01 00:00:00+00:00,1795-01-01 00:00:00+00:00,United States,Northwest Territory,,,,USA
702,Seventh Russo-Turkish War,1787-08-24 00:00:00+00:00,1792-01-09 00:00:00+00:00,Russian Empire,Eastern Europe,,,Treaty of Jassy,Russia
721,Russo-Swedish War of 1788–1790,1788-06-01 00:00:00+00:00,1790-08-01 00:00:00+00:00,Russian Empire,,,,,Russia
730,Third Anglo-Mysore War,1790-01-01 00:00:00+00:00,1792-03-18 00:00:00+00:00,East India Company,South India,,,,Europe
745,French Revolutionary Wars,1792-04-20 00:00:00+00:00,1802-03-25 00:00:00+00:00,United States,Europe,,,,USA
750,French Revolutionary Wars,1792-04-20 00:00:00+00:00,1802-03-25 00:00:00+00:00,Russian Empire,Europe,,,,Russia
768,Polish–Russian War of 1792,1792-05-18 00:00:00+00:00,1792-07-27 00:00:00+00:00,Russian Empire,Polish–Lithuanian Commonwealth,,,,Russia
788,Second Carib War,1795-01-01 00:00:00+00:00,1797-01-01 00:00:00+00:00,France,Saint Vincent,,,,Europe
794,Persian Expedition of 1796,1796-04-01 00:00:00+00:00,1796-11-01 00:00:00+00:00,Russian Empire,North Caucasus,,,,Russia
812,War of the Second Coalition,1798-01-01 00:00:00+00:00,1801-01-01 00:00:00+00:00,Russian Empire,Mediterranean Sea,,,,Russia
820,Fourth Anglo-Mysore War,1798-01-01 00:00:00+00:00,1799-01-01 00:00:00+00:00,East India Company,Indian subcontinent,,,,Europe
824,War of the Second Coalition,1798-01-01 00:00:00+00:00,1801-01-01 00:00:00+00:00,Russian Empire,Central Europe,,,,Russia
840,Quasi-War,1798-07-07 00:00:00+00:00,1800-09-30 00:00:00+00:00,United States,Atlantic Ocean,,,,USA
854,Russian conquest of the Caucasus,1800-12-18 00:00:00+00:00,1864-06-02 00:00:00+00:00,Russian Empire,Caucasus,,,,Russia
858,Barbary Wars,1801-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,United States,Barbary Coast,,,,USA
869,Second Anglo-Maratha War,1803-01-01 00:00:00+00:00,1805-01-01 00:00:00+00:00,East India Company,,,,,Europe
872,Russo-Persian War,1804-01-01 00:00:00+00:00,1813-10-24 00:00:00+00:00,Russian Empire,North Caucasus,,,,Russia
876,War of the Third Coalition,1805-01-01 00:00:00+00:00,1806-01-01 00:00:00+00:00,Russian Empire,Central Europe,,,,Russia
892,Anglo-Russian War,1807-09-02 00:00:00+00:00,1812-07-18 00:00:00+00:00,Russian Empire,Finland,,,,Russia
895,Dano-Swedish War of 1808-1809,1808-03-14 00:00:00+00:00,1809-12-10 00:00:00+00:00,Russian Empire,Scandinavia,,,,Russia
907,Tecumseh's War,1810-08-01 00:00:00+00:00,1813-10-05 00:00:00+00:00,United States,Midwestern United States,,,,USA
920,War of 1812,1812-06-18 00:00:00+00:00,1815-02-18 00:00:00+00:00,United States,Pacific Ocean,,,status quo ante bellum,USA
929,War of 1812,1812-06-18 00:00:00+00:00,1815-02-18 00:00:00+00:00,United States,North America,,,status quo ante bellum,USA
938,War of 1812,1812-06-18 00:00:00+00:00,1815-02-18 00:00:00+00:00,United States,Atlantic Ocean,,,status quo ante bellum,USA
948,French invasion of Russia,1812-06-24 00:00:00+00:00,1812-12-14 00:00:00+00:00,Russian Empire,Russian Empire,,,,Russia
956,Creek War,1813-01-01 00:00:00+00:00,1814-08-01 00:00:00+00:00,United States,Southern United States,,,,USA
966,Anglo-Nepalese War,1814-01-01 00:00:00+00:00,1816-01-01 00:00:00+00:00,East India Company,Kingdom of Nepal,,,,Europe
974,Seminole Wars,1816-01-01 00:00:00+00:00,1858-01-01 00:00:00+00:00,United States,Pensacola,,,,USA
981,Third Anglo-Maratha War,1817-11-01 00:00:00+00:00,1818-02-01 00:00:00+00:00,East India Company,Maharashtra,,,,Europe
988,Texas–Indian Wars,1820-01-01 00:00:00+00:00,1875-01-01 00:00:00+00:00,United States,Texas,,,,USA
1008,Russo-Persian War of 1826–28,1826-07-31 00:00:00+00:00,1828-02-22 00:00:00+00:00,Russian Empire,South Caucasus,,,Treaty of Turkmenchay,Russia
1021,Algerian popular resistance against French invasion,1830-01-01 00:00:00+00:00,1962-01-01 00:00:00+00:00,France,,,,,Europe
1032,November Uprising,1830-11-29 00:00:00+00:00,1831-10-21 00:00:00+00:00,Russian Empire,Congress Poland,,,,Russia
1044,Black Hawk War,1832-05-01 00:00:00+00:00,1832-08-01 00:00:00+00:00,United States,Michigan Territory,,,,USA
1049,Black Hawk War,1832-05-01 00:00:00+00:00,1832-08-01 00:00:00+00:00,United States,Illinois,,,,USA
1054,Russian-Chechen War of 1834–1835,1834-01-01 00:00:00+00:00,1835-01-01 00:00:00+00:00,Russian Empire,Caucasus,,,,Russia
1062,Second Seminole War,1835-12-23 00:00:00+00:00,1842-08-14 00:00:00+00:00,United States,Florida,,,,USA
1071,Aroostook War,1838-01-01 00:00:00+00:00,1839-01-01 00:00:00+00:00,United States,Maine,,,,USA
1072,Pastry War,1838-11-27 00:00:00+00:00,1839-03-09 00:00:00+00:00,United States,Canada,,,,USA
1084,Second Egyptian-Ottoman War,1839-01-01 00:00:00+00:00,1841-01-01 00:00:00+00:00,Russian Empire,Levant,,,,Russia
1095,Russian conquest of Bukhara,1842-01-01 00:00:00+00:00,1868-01-01 00:00:00+00:00,Russian Empire,,,,,Russia
1109,First Anglo-Sikh War,1845-12-11 00:00:00+00:00,1846-03-09 00:00:00+00:00,East India Company,Punjab,,,,Europe
1115,Mexican-American War,1846-04-24 00:00:00+00:00,1848-02-02 00:00:00+00:00,United States,Mexico,11733,,Texas,USA
1119,Mexican-American War,1846-04-24 00:00:00+00:00,1848-02-02 00:00:00+00:00,United States,Mexico,11733,,United States,USA
1120,Mexican-American War,1846-04-24 00:00:00+00:00,1848-02-02 00:00:00+00:00,United States,Mexico,11733,,Mexico,USA
1125,Cayuse War,1847-01-01 00:00:00+00:00,1855-01-01 00:00:00+00:00,United States,Oregon Country,,,,USA
1132,Jicarilla War,1849-01-01 00:00:00+00:00,1855-01-01 00:00:00+00:00,United States,New Mexico Territory,,,,USA
1137,Apache Wars,1849-01-01 00:00:00+00:00,1924-01-01 00:00:00+00:00,United States,Southwestern United States,,,,USA
1151,Crimean War,1853-10-01 00:00:00+00:00,1856-02-01 00:00:00+00:00,Russian Empire,Crimea,,,,Russia
1161,Crimean War,1853-10-01 00:00:00+00:00,1856-02-01 00:00:00+00:00,Russian Empire,Caucasus,,,,Russia
1170,Crimean War,1853-10-01 00:00:00+00:00,1856-02-01 00:00:00+00:00,Russian Empire,Kamchatka Peninsula,,,,Russia
1189,Crimean War,1853-10-01 00:00:00+00:00,1856-02-01 00:00:00+00:00,Russian Empire,Black Sea,,,,Russia
1199,Crimean War,1853-10-01 00:00:00+00:00,1856-02-01 00:00:00+00:00,Russian Empire,Baltic Sea,,,,Russia
1204,Crimean War,1853-10-01 00:00:00+00:00,1856-02-01 00:00:00+00:00,Russian Empire,Balkans,,,,Russia
1211,Crimean War,1853-10-01 00:00:00+00:00,1856-02-01 00:00:00+00:00,Russian Empire,White Sea,,,,Russia
1227,Rogue River Wars,1855-01-01 00:00:00+00:00,1856-01-01 00:00:00+00:00,United States,,,,,USA
1229,Yakima War,1855-01-01 00:00:00+00:00,1858-01-01 00:00:00+00:00,United States,Washington Territory,,,,USA
1232,Second Opium War,1856-01-01 00:00:00+00:00,1860-01-01 00:00:00+00:00,United States,Qing dynasty,,,,USA
1236,Anglo-Persian War,1856-11-01 00:00:00+00:00,1857-04-04 00:00:00+00:00,East India Company,,,,,Europe
1241,Indian Mutiny of 1857,1857-05-10 00:00:00+00:00,1858-06-20 00:00:00+00:00,East India Company,Company rule in India,,,,Europe
1258,Pig War,1859-06-15 00:00:00+00:00,1859-10-01 00:00:00+00:00,United States,San Juan Islands,,,,USA
1266,Dakota War of 1862,1862-08-17 00:00:00+00:00,1862-12-26 00:00:00+00:00,United States,Dakota Territory,150,,,USA
1269,Dakota War of 1862,1862-08-17 00:00:00+00:00,1862-12-26 00:00:00+00:00,United States,Minnesota,77,,,USA
1270,Dakota War of 1862,1862-08-17 00:00:00+00:00,1862-12-26 00:00:00+00:00,United States,Dakota Territory,77,,,USA
1271,Dakota War of 1862,1862-08-17 00:00:00+00:00,1862-12-26 00:00:00+00:00,United States,Minnesota,150,,,USA
1274,Colorado War,1863-01-01 00:00:00+00:00,1865-01-01 00:00:00+00:00,United States,Colorado,,,,USA
1339,Red Cloud's War,1866-01-01 00:00:00+00:00,1868-01-01 00:00:00+00:00,United States,Bozeman Trail,,,,USA
1345,Red Cloud's War,1866-01-01 00:00:00+00:00,1868-01-01 00:00:00+00:00,United States,Powder River Country,,,,USA
