War,Start Date,End Date,Participant,Location,Casualties,Cause,Effect
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Scipio Africanus,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Syracuse,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Pergamon,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Hannibal,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Macedonia,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Kingdom of Numidia,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Iberians,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Aetolian League,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Quintus Fabius Maximus Verrucosus,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Gaius Terentius Varro,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Lucius Aemilius Paullus,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Maesulians,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Masaesyli,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Ancient Rome,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Ancient Carthage,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Publius Cornelius Scipio,Mediterranean Sea,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Scipio Africanus,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Syracuse,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Pergamon,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Hannibal,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Macedonia,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Kingdom of Numidia,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Iberians,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Aetolian League,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Quintus Fabius Maximus Verrucosus,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Gaius Terentius Varro,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Lucius Aemilius Paullus,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Maesulians,Ancient Greece,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Masaesyli,Ancient Greece,,,
