War,Start Date,End Date,Participant,Location,Casualties,Cause,Effect
King Philip's War,,1678-04-12 00:00:00+00:00,Podunk people,Massachusetts Bay Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Nipmuc,Connecticut Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Narragansett people,Connecticut Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Nashaway people,Plymouth Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Pequot,Plymouth Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,New England Confederation,Connecticut Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Pequot,Connecticut Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Wampanoag people,Connecticut Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Mohegan,Colony of Rhode Island and Plantations,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Nashaway people,Massachusetts Bay Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Wampanoag people,Massachusetts Bay Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Pequot,Massachusetts Bay Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,New England Confederation,Massachusetts Bay Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Narragansett people,Massachusetts Bay Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Nipmuc,Massachusetts Bay Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Mohegan,Massachusetts Bay Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Podunk people,Connecticut Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Nashaway people,Connecticut Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Mohegan,Plymouth Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Nipmuc,Plymouth Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,New England Confederation,Plymouth Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Wampanoag people,Plymouth Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Podunk people,Colony of Rhode Island and Plantations,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Nashaway people,Colony of Rhode Island and Plantations,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Wampanoag people,Colony of Rhode Island and Plantations,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Pequot,Colony of Rhode Island and Plantations,,,
King Philip's War,,1678-04-12 00:00:00+00:00,New England Confederation,Colony of Rhode Island and Plantations,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Narragansett people,Colony of Rhode Island and Plantations,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Narragansett people,Plymouth Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Nipmuc,Colony of Rhode Island and Plantations,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Podunk people,Plymouth Colony,,,
King Philip's War,,1678-04-12 00:00:00+00:00,Mohegan,Connecticut Colony,,,
Scanian War,,1679-01-01 00:00:00+00:00,Brandenburg-Prussia,Scandinavia,,,
Scanian War,,1679-01-01 00:00:00+00:00,Swedish Empire,Scandinavia,,,
Scanian War,,1679-01-01 00:00:00+00:00,Kingdom of France,Scandinavia,,,
Scanian War,,1679-01-01 00:00:00+00:00,Holy Roman Empire,Scandinavia,,,
Scanian War,,1679-01-01 00:00:00+00:00,Dutch Republic,Scandinavia,,,
Scanian War,,1679-01-01 00:00:00+00:00,Denmark–Norway,Scandinavia,,,
Spanish–Brandenburger War,1680-01-01 00:00:00+00:00,1681-01-01 00:00:00+00:00,Brandenburg-Prussia,,,,
Spanish–Brandenburger War,1680-01-01 00:00:00+00:00,1681-01-01 00:00:00+00:00,Hispanic Monarchy,,,,
Pueblo Revolt,1680-08-10 00:00:00+00:00,1680-08-21 00:00:00+00:00,Puebloan peoples,Santa Fe de Nuevo México,,,
Pueblo Revolt,1680-08-10 00:00:00+00:00,1680-08-21 00:00:00+00:00,Spanish Empire,Santa Fe de Nuevo México,,,
French-Algerian War 1681–88,1681-01-01 00:00:00+00:00,1688-01-01 00:00:00+00:00,Kingdom of France,,,,
French–Tripolitania War,1681-01-01 00:00:00+00:00,1685-01-01 00:00:00+00:00,Tripoli Eyalet,Chios,,,
French–Tripolitania War,1681-01-01 00:00:00+00:00,1685-01-01 00:00:00+00:00,Kingdom of France,Chios,,,
Johor-Jambi war,,1681-01-01 00:00:00+00:00,Dutch East India Company,Jambi,,,
French–Tripolitania War,1681-01-01 00:00:00+00:00,1685-01-01 00:00:00+00:00,Tripoli Eyalet,Tripoli,,,
Johor-Jambi war,,1681-01-01 00:00:00+00:00,Portuguese Empire,Jambi,,,
